,video_id,comments
0,rWBOITBjitE,"['🎉🎉🎉🎉🎉', 'VOLTA DUIO BOTTA', 'Оператор:😢', 'Woóoooooooooooooow', 'Respect 🎉🎉🎉']"
1,tnTPaLOaHz8,"['make sure to buy feastables at your local grocery store', 'It’s Ternx', 'Brasil ou brazilian', ""I'd break your bank from what ive seen in any of your challenges 😊"", '나도할래 미스터비스트 재발요']"
2,Wdjh81uH6FU,"['The final job is the craziest thing I’ve ever done, I still can’t believe they let us do that lol', 'EG0RIC', 'pleaaaase tell me someone else also saw lazarbeam chilling with the gang', '👍', '👍👍👍']"
3,7dYTw-jAYkY,"['I’ve now been buried for 50 hours and 7 days.. should I go for a month next? Lol', '또 하네?', 'اكره كريس🤢', '竹内順子さん？', 'R u cryingg']"
4,AjZDwxt7S8w,"['You are so much better 💕', 'Mr B\n Eats', 'Te quiero', 'Pagal mister beast', 'Dormiste meu dente caiu']"
5,aZnqqXaT02g,"['Jimmy  is  👌 👍 😍', 'Happy Halloween 🎃', '❤❤❤❤❤', 'Need sport me sir', 'mario now have a car']"
6,mwKJfNYwvm8,"['Visit https://www.beastphilanthropy.org/campaign/mrbeast-100-wells to donate and help us build more wells!', 'Yo me llamo kenia❤', 'just donated❤️', 'Love you brother ❤', 'Mr Beast is the purest person ever']"
7,l9_8_pDTmis,"['Gastaron más de lo que ganaron ..:', '🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷', 'Florya', '😂😂😂😂😂😂', 'Türkiye 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷']"
8,n7x4Jj9pdH8,"['Jimmy you are besttttt❤❤❤❤😊😊😊😊😊', 'Advita🎉😊I  em❤😅😢$6😅😢🎉❤😂😊🎉😢😮❤😢😂😮😂😮😮', '❤❤❤', 'Need sport me sir', 'La cama más cara no era la del Juan?']"
9,QjvpjXdgugA,"['Before anyone asks, I blew them up when they touched a laser because it was cooler then them just walking off set. No one died in this filming haha', 'ты не взорвал землю потамуто я сейчас смотрю', 'Алло гараж Ты же уничтожил землю как ты нашёл людей', 'You have so wonderful videos! \nThe graphics are simply amazing😮', 'the effects are CGI the lasers are light']"
